loc bl_ratio count
17.0 0 1
9.0 0 1
22.0 0 1
11.0 0 1
13.0 0 1
16.0 0 1
8.0 0 1
34.0 0 1
14.0 0 1
7.0 0 1
23.0 0 1
26.0 0 1
22.0 0 1
28.0 0 1
9.0 0 1
20.0 0 1
27.0 0 1
15.0 0 1
31.0 0 1
13.0 0 1
13.0 0 1
29.0 0 1
19.0 0 1
11.0 0 1
17.0 0 1
14.0 0 1
12.0 0 1
30.0 0 1
32.0 0 1
33.0 0 1
18.0 0 1
17.0 0 1
24.0 0 1
38.0 0 1
27.0 0 1
25.0 0 1
35.0 0 1
12.0 0 1
38.0 0 1
23.0 0 1
8.0 0 1
40.0 0 1
17.0 0 1
25.0 0 1
42.0 0 1
18.0 0 1
13.0 0 1
41.0 0 1
9.0 1 1
32.0 0 1
16.0 0 1
37.0 0 1
19.0 0 1
26.0 0 1
19.0 0 1
38.0 0 1
9.0 0 1
42.0 0 1
29.0 0 1
11.0 0 1
39.0 0 1
36.0 0 1
9.0 0 2
12.0 0 2
12.0 0 2
13.0 0 2
14.0 0 2
15.0 0 2
11.0 0 2
33.0 0 2
28.0 0 2
36.0 0 2
27.0 0 2
8.0 0 2
18.0 0 2
18.0 0 2
39.0 0 2
37.0 0 2
39.0 0 2
14.0 0 2
29.0 0 2
35.0 0 2
10.0 0 2
32.0 0 2
42.0 0 2
23.0 0 2
42.0 0 2
17.0 0 2
11.0 0 2
10.0 0 2
36.0 0 2
23.0 0 2
18.0 0 2
33.0 0 2
14.0 1 2
24.0 0 2
37.0 0 2
20.0 0 2
22.0 0 2
37.0 0 2
24.0 0 3
25.0 0 3
10.0 0 3
18.0 0 3
15.0 0 3
25.0 0 3
13.0 0 3
19.0 0 3
36.0 0 3
38.0 0 3
25.0 0 3
12.0 0 3
9.0 0 3
30.0 0 3
34.0 0 3
39.0 0 3
30.0 0 3
31.0 0 3
10.0 0 3
14.0 0 3
36.0 0 3
31.0 0 3
21.0 0 3
38.0 0 3
40.0 0 3
7.0 0 3
40.0 0 3
8.0 0 3
30.0 0 3
30.0 0 3
41.0 0 3
39.0 0 3
28.0 0 4
11.0 0 4
15.0 0 4
35.0 0 4
19.0 0 4
16.0 0 4
15.0 0 4
22.0 0 4
7.0 0 4
26.0 0 4
25.0 0 4
14.0 0 4
36.0 0 4
30.0 0 4
19.0 0 4
33.0 0 4
29.0 0 4
32.0 0 4
40.0 0 4
18.0 0 4
17.0 0 5
21.0 0 5
24.0 0 5
17.0 0 5
27.0 0 5
12.0 0 5
27.0 0 5
31.0 0 5
33.0 0 5
42.0 0 5
29.0 0 5
21.0 0 5
28.0 0 6
10.0 0 6
19.0 0 6
18.0 0 6
39.0 0 6
16.0 0 6
29.0 0 6
24.0 0 6
35.0 0 6
20.0 0 7
37.0 0 7
22.0 0 8
23.0 0 9
26.0 0 9
20.0 0 9
41.0 0 9
32.0 0 9
27.0 0 9
