nobl cc count
2 1 6758
2 2 3768
2 3 3430
3 1 2456
2 4 2203
3 3 1716
3 2 1682
2 5 1559
3 4 1440
4 1 1395
3 5 1158
4 3 903
4 5 873
2 6 810
5 1 776
4 4 770
4 2 721
3 6 702
2 7 584
4 6 549
2 8 535
5 4 470
3 7 469
5 5 468
5 3 459
6 1 455
5 2 445
5 6 410
4 7 376
3 8 324
7 1 322
5 7 320
2 10 311
6 3 295
6 2 295
8 1 294
6 6 273
3 9 263
6 5 263
2 9 249
6 7 249
6 4 248
4 8 244
4 9 211
5 8 206
7 2 181
5 9 173
2 11 168
7 4 168
9 1 163
7 6 161
6 8 159
3 10 158
7 3 143
4 10 142
7 5 131
7 7 129
8 2 125
7 8 120
6 9 119
8 3 112
8 4 102
8 5 98
3 17 95
10 1 91
6 11 91
5 10 88
3 11 88
4 11 87
9 3 85
7 9 84
8 6 83
11 1 82
5 11 82
6 10 78
2 12 77
8 8 74
8 7 70
9 4 66
7 10 65
8 9 64
2 27 62
3 12 59
9 7 58
3 18 58
12 1 57
9 5 56
7 11 55
9 10 53
9 2 52
10 5 51
9 8 51
8 10 48
7 12 46
11 3 45
10 3 45
9 9 43
9 6 43
2 13 43
4 12 42
12 2 41
3 13 40
3 15 37
4 24 36
10 6 36
10 2 34
10 11 34
7 13 33
5 12 33
10 7 32
8 11 31
10 4 31
11 4 28
5 31 27
9 11 27
10 8 26
14 1 26
7 14 26
11 6 26
5 13 26
4 13 25
10 9 25
6 12 24
2 14 24
13 1 24
11 10 24
8 15 22
11 9 22
4 14 21
8 13 21
15 1 19
11 8 19
2 15 19
3 14 19
6 13 19
12 3 18
11 5 18
17 2 18
14 7 18
11 2 18
12 9 17
12 7 16
3 16 16
9 13 16
8 12 16
10 10 16
12 6 15
2 16 15
5 14 15
13 5 15
11 12 15
11 7 14
4 22 14
4 15 14
12 4 13
6 14 13
10 13 13
10 12 12
12 5 12
11 11 11
6 15 11
9 14 10
9 12 10
5 29 10
18 4 10
2 17 9
13 3 9
4 16 8
15 4 8
13 9 8
16 1 8
14 4 8
14 2 8
8 14 8
12 8 8
4 18 8
13 7 8
13 4 8
12 10 8
2 18 7
13 2 7
16 3 6
4 23 6
4 17 6
7 15 6
7 18 6
15 8 6
10 14 6
20 1 6
13 8 6
5 15 6
7 17 6
11 13 6
9 15 6
3 19 5
12 12 5
22 1 5
9 16 5
13 6 5
9 18 5
2 20 5
5 27 5
6 25 5
5 16 5
11 14 5
6 16 5
14 5 5
13 10 5
10 19 5
13 14 5
10 16 4
14 10 4
16 4 4
5 18 4
14 11 4
12 13 4
6 17 4
14 9 4
15 2 4
5 17 4
6 21 4
4 21 4
5 25 4
15 5 4
12 11 4
10 20 4
8 22 3
15 16 3
16 12 3
7 25 3
16 7 3
7 16 3
10 18 3
17 8 3
4 19 3
14 8 3
8 16 3
15 9 3
12 23 3
2 19 3
5 23 3
6 18 3
15 6 3
19 1 3
18 9 3
27 4 3
14 3 3
13 11 3
8 24 3
17 18 3
7 19 3
8 20 2
3 25 2
12 24 2
7 23 2
3 21 2
7 20 2
3 20 2
7 35 2
2 25 2
2 21 2
10 15 2
11 17 2
5 21 2
12 15 2
3 23 2
5 19 2
10 17 2
5 22 2
14 13 2
17 1 2
17 10 2
16 6 2
16 5 2
20 6 2
16 17 2
16 2 2
14 14 2
17 7 2
15 7 2
18 19 2
14 17 2
18 1 2
15 3 2
13 15 1
12 18 1
12 16 1
11 27 1
11 26 1
11 24 1
13 12 1
13 13 1
11 23 1
11 21 1
13 17 1
13 18 1
13 23 1
13 25 1
13 26 1
11 22 1
9 20 1
11 19 1
11 15 1
10 21 1
8 17 1
3 29 1
14 12 1
9 19 1
9 17 1
14 21 1
14 22 1
14 24 1
14 27 1
14 28 1
14 30 1
2 23 1
2 28 1
8 31 1
8 21 1
8 19 1
9 50 1
15 10 1
15 11 1
15 14 1
3 22 1
3 27 1
14 6 1
6 19 1
7 36 1
23 1 1
7 29 1
16 13 1
29 4 1
29 1 1
5 28 1
7 22 1
18 2 1
23 5 1
17 6 1
6 23 1
4 20 1
22 6 1
4 25 1
6 42 1
6 30 1
22 3 1
17 3 1
20 3 1
16 9 1
18 3 1
12 39 1
19 2 1
18 10 1
18 6 1
18 7 1
18 8 1
5 30 1
16 8 1
4 27 1
4 41 1
21 14 1
20 2 1
20 10 1
19 4 1
19 6 1
19 9 1
20 8 1
19 12 1
19 20 1
6 20 1
36 1 1
